2023-11-13 08:58:24.908 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-13 08:58:24.911 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - Starting Team35Application using Java 17.0.7 on FULL8-014 with PID 12576 (D:\kimleeho\TeamProject5\project05\build\classes\java\main started by db400tea in D:\kimleeho\TeamProject5\project05)
2023-11-13 08:58:24.913 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-13 08:58:25.055 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-13 08:58:25.056 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-13 08:58:25.686 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-13 08:58:25.691 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-13 08:58:25.692 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-13 08:58:25.692 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-13 08:58:25.773 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-13 08:58:25.777 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-13 08:58:25.777 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 720 ms
2023-11-13 08:58:26.057 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3c7192ee, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2862335a, org.springframework.security.web.context.SecurityContextPersistenceFilter@fc07e2d, org.springframework.security.web.header.HeaderWriterFilter@db839e1, org.springframework.security.web.csrf.CsrfFilter@1f4b68f5, org.springframework.security.web.authentication.logout.LogoutFilter@27090f3a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@18a5e4e2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@300799d7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d676314, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2db142a8, org.springframework.security.web.session.SessionManagementFilter@23a789ec, org.springframework.security.web.access.ExceptionTranslationFilter@5139fa83, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@280e7e8a]
2023-11-13 08:58:26.197 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-13 08:58:26.206 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-13 08:58:26.221 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-13 08:58:26.227 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - Started Team35Application in 1.509 seconds (JVM running for 1.902)
2023-11-13 08:58:52.126 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13 08:58:52.126 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-13 08:58:52.126 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
